観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),21日の最大値(m/s),21日の最大値の品質情報,21日の最大値観測時の風向,21日の最大値観測時の風向の品質情報,21日の最大値起時（時）,21日の最大値起時（分）,21日の最大値起時の品質情報,極値更新,10年未満での極値更新,20日までの観測史上1位の値(m/s),20日までの観測史上1位の値の品質情報,20日までの観測史上1位の値観測時の風向,20日までの観測史上1位の値観測時の風向の品質情報,20日までの観測史上1位の値観測時の年,20日までの観測史上1位の値観測時の月,20日までの観測史上1位の値観測時の日,20日までの2月の1位の値（m/s）,20日までの2月の1位の値の品質情報,20日までの2月の1位の値観測時の風向,20日までの2月の1位の値観測時の風向の品質情報,20日までの2月の1位の値観測時の年,20日までの2月の1位の値観測時の月,20日までの2月の1位の値観測時の日,統計開始年
13277,北海道留萌地方,留萌（ルモイ）,47406,2024,02,21,09,00,17.0,4,西北西,4,01,40,4,,,43.9,8,南南西,8,2004,09,08,33.5,8,西南西,8,2006,02,27,1957
13311,北海道留萌地方,増毛（マシケ）,,2024,02,21,09,00,16.6,4,西,4,00,31,4,,,38.0,8,北西,8,2023,12,17,32.8,8,西南西,8,2021,02,16,2008
13321,北海道留萌地方,幌糠（ホロヌカ）,,2024,02,21,09,00,10.9,4,北西,4,03,27,4,,,28.6,8,北西,8,2015,10,25,23.7,8,北西,8,2022,02,21,2009
14026,北海道石狩地方,浜益（ハママス）,,2024,02,21,09,00,17.0,4,西北西,4,01,51,4,,,37.1,8,西,8,2013,01,02,29.6,8,西,8,2022,02,21,2008
14071,北海道石狩地方,厚田（アツタ）,,2024,02,21,09,00,17.4,4,西北西,4,00,44,4,,,28.5,8,東,8,2018,09,05,28.4,8,西,8,2022,02,21,2008
14101,北海道石狩地方,新篠津（シンシノツ）,,2024,02,21,09,00,11.9,4,西北西,4,02,46,4,,,32.7,8,西,8,2017,12,25,28.2,8,西北西,8,2022,02,21,2008
14116,北海道石狩地方,山口（ヤマグチ）,,2024,02,21,09,00,11.0,4,西,4,03,38,4,,,28.8,8,北北西,8,2016,03,01,25.0,8,西北西,8,2019,02,04,2009
14121,北海道石狩地方,石狩（イシカリ）,,2024,02,21,09,00,13.2,4,西北西,4,00,51,4,,,29.2,8,西北西,8,2017,12,25,26.5,8,西,8,2022,02,21,2008
14136,北海道石狩地方,江別（エベツ）,,2024,02,21,09,00,11.8,4,西,4,07,44,4,,,33.1,8,南南東,8,2018,09,05,24.7,8,西,8,2022,02,21,2008
14163,北海道石狩地方,札幌（サッポロ）,47412,2024,02,21,09,00,12.5,4,西,4,08,44,4,,,50.2,8,南西,8,2004,09,08,31.4,8,南南東,8,2007,02,14,1943
14206,北海道石狩地方,恵庭島松（エニワシママツ）,,2024,02,21,09,00,7.8,4,北西,4,06,01,4,,,30.0,8,南南東,8,2018,09,05,22.6,8,北西,8,2009,02,21,2008
14286,北海道石狩地方,支笏湖畔（シコツコハン）,,2024,02,21,09,00,7.1,4,西,4,08,45,4,,,22.3,8,西,8,2021,03,10,19.1,8,西北西,8,2015,02,15,2008
14296,北海道石狩地方,千歳（チトセ）,,2024,02,21,09,00,9.8,4,西北西,4,08,59,4,,,33.4,8,南南東,8,2018,09,05,25.2,8,南東,8,2016,02,29,2009
15116,北海道空知地方,石狩沼田（イシカリヌマタ）,,2024,02,21,09,00,11.5,4,西,4,02,51,4,,,29.0,8,西,8,2010,03,21,22.3,8,西,8,2013,02,03,2008
15156,北海道空知地方,秩父別（チップベツ）,,2024,02,21,09,00,9.5,4,西,4,01,33,4,,,24.5,8,西,8,2023,12,17,16.2,8,南南西,8,2024,02,19,2022
15161,北海道空知地方,深川（フカガワ）,,2024,02,21,09,00,8.5,4,南西,4,02,26,4,,,32.1,8,南東,8,2018,09,05,30.8,8,南東,8,2016,02,29,2008
15231,北海道空知地方,空知吉野（ソラチヨシノ）,,2024,02,21,09,00,9.6,4,西,4,01,39,4,,,28.6,8,西南西,8,2017,11,11,22.8,8,西南西,8,2021,02,16,2008
15241,北海道空知地方,滝川（タキカワ）,,2024,02,21,09,00,7.4,4,南南西,4,07,28,4,,,28.8,8,西南西,8,2015,10,02,19.4,8,西,8,2015,02,09,2008
15251,北海道空知地方,芦別（アシベツ）,,2024,02,21,09,00,6.3,4,西南西,4,00,47,4,,,27.6,8,南東,8,2016,02,29,27.6,8,南東,8,2016,02,29,2009
15311,北海道空知地方,月形（ツキガタ）,,2024,02,21,09,00,13.4,4,西,4,02,12,4,,,31.5,8,西,8,2017,12,25,25.0,8,西,8,2021,02,16,2008
15321,北海道空知地方,美唄（ビバイ）,,2024,02,21,09,00,7.8,4,西,4,03,16,4,,,30.5,8,南南東,8,2018,09,05,23.5,8,西,8,2015,02,09,2009
15356,北海道空知地方,岩見沢（イワミザワ）,47413,2024,02,21,09,00,11.5,4,北西,4,04,04,4,,,39.6,8,南南西,8,1954,09,26,28.8,8,南南東,8,2006,02,26,1951
15431,北海道空知地方,長沼（ナガヌマ）,,2024,02,21,09,00,9.2,4,北西,4,03,15,4,,,29.6,8,南南東,8,2018,09,05,22.7,8,南南東,8,2016,02,29,2008
15442,北海道空知地方,夕張（ユウバリ）,,2024,02,21,09,00,7.0,4,西,4,08,46,4,,,22.2,8,南南東,8,2018,09,05,17.6,8,北西,8,2009,02,14,2008
16026,北海道後志地方,美国（ビクニ）,,2024,02,21,09,00,7.1,4,西,4,08,53,4,,,27.9,8,南西,8,2012,12,06,23.2,8,南西,8,2017,02,16,2008
16061,北海道後志地方,神恵内（カモエナイ）,,2024,02,21,09,00,13.5,4,北西,4,00,29,4,,,34.2,8,西,8,2012,12,06,28.5,8,西,8,2021,02,16,2008
